experiment,study_title,type,authors,journal
consistent-wake-time,Association Between Social Jetlag and Components of Metabolic Syndrome: A Systematic Review and Meta-Analysis,MA,Health Commons,Review
consistent-wake-time,Association of social jetlag with metabolic syndrome among Japanese working population: the Furukawa Nutrition and Health Study,OBS,Health Commons,Journal Article
consistent-wake-time,Circadian Preference and Sleep-Wake Regularity: Associations With Self-Report Sleep Parameters in Daytime-Working Adults,OBS,Health Commons,Journal Article
consistent-wake-time,Clinical significance of night-to-night sleep variability in insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,Greater bed- and wake-time variability is associated with less healthy lifestyle behaviors: a cross-sectional study,OBS,Health Commons,Journal Article
consistent-wake-time,Interpersonal and social rhythm therapy: an intervention addressing rhythm dysregulation in bipolar disorder,REV,Health Commons,Review
consistent-wake-time,Irregular sleep and cardiometabolic risk: Clinical evidence and mechanisms,REV,Health Commons,Review
consistent-wake-time,National Sleep Foundation's updated sleep duration recommendations: final report,GUIDE,Health Commons,Guideline
consistent-wake-time,Negative Impacts of Shiftwork and Long Work Hours,REV,Health Commons,Review
consistent-wake-time,Night-to-night sleep variability in older adults with and without chronic insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,NIOSH Training for Nurses on Shift Work and Long Work Hours,GUIDE,Health Commons,Guideline
consistent-wake-time,"Sleep regularity in adolescents: Associations with sleep, rest-activity indices, and prospective mental health symptoms",OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep regularity is associated with sleep-wake and circadian timing, and mediates daytime function in delayed sleep-wake phase disorder",OBS,Health Commons,Journal Article
consistent-wake-time,Sleep variability among older adults with insomnia: Associations with sleep quality and cardiometabolic disease risk,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep Variability, Sleep Irregularity, and Nighttime Blood Pressure Dipping",OBS,Health Commons,Journal Article
consistent-wake-time,The association between social jetlag and parameters of metabolic syndrome and type 2 diabetes: a systematic review and meta-analysis,MA,Health Commons,Review
consistent-wake-time,"The Association between Social Jetlag, the Metabolic Syndrome, and Type 2 Diabetes Mellitus in the General Population: The New Hoorn Study",OBS,Health Commons,Journal Article
consistent-wake-time,"Use of Actigraphy for the Evaluation of Sleep Disorders and Circadian Rhythm Sleep-Wake Disorders: An American Academy of Sleep Medicine Systematic Review, Meta-Analysis, and GRADE Assessment",MA,Health Commons,Review
consistent-wake-time,Confronting Drowsy Driving: The American Academy of Sleep Medicine Perspective,GUIDE,Health Commons,Guideline
consistent-wake-time,Effect of Posthospitalization Sleep Regularity on Clinical Events in Adults With Heart Failure,OBS,Health Commons,Journal Article
consistent-wake-time,"Effects of irregular versus regular sleep schedules on performance, mood and body temperature",INT,Health Commons,Journal Article
consistent-wake-time,Effects of regularizing sleep-wake schedules on daytime autonomic functions and psychological states in healthy university students with irregular sleep-wake habits,INT,Health Commons,Journal Article
consistent-wake-time,Irregular sleep/wake patterns are associated with poorer academic performance and delayed circadian and sleep/wake timing,OBS,Health Commons,Journal Article
consistent-wake-time,Measuring sleep regularity: theoretical properties and practical usage of existing metrics,SRC,Health Commons,Journal Article
consistent-wake-time,National Sleep Foundation's sleep time duration recommendations: methodology and results summary,GUIDE,Health Commons,Guideline
consistent-wake-time,Practice Parameters for the Role of Actigraphy in the Study of Sleep and Circadian Rhythms: An Update for 2002,GUIDE,Health Commons,Guideline
consistent-wake-time,Practice parameters for the use of actigraphy in the assessment of sleep and sleep disorders: an update for 2007,GUIDE,Health Commons,Guideline
consistent-wake-time,Recommended Amount of Sleep for a Healthy Adult: A Joint Consensus Statement of the American Academy of Sleep Medicine and Sleep Research Society,GUIDE,Health Commons,Guideline
consistent-wake-time,Recommended Amount of Sleep for Pediatric Populations: A Consensus Statement of the American Academy of Sleep Medicine,GUIDE,Health Commons,Guideline
consistent-wake-time,Reduced sleep irregularity does not impact peripheral vascular function before or following total sleep deprivation,INT,Health Commons,Journal Article
consistent-wake-time,Short-term reduction in sleep irregularity modulates cardiac autonomic function and central hemodynamic parameters at rest,INT,Health Commons,Journal Article
consistent-wake-time,"Sleep Restriction Therapy for Insomnia Is Associated With Reduced Objective Total Sleep Time, Increased Daytime Somnolence, and Objectively Impaired Vigilance",INT,Health Commons,Journal Article
consistent-wake-time,Social Jetlag and Related Risks for Human Health,REV,Health Commons,Review
consistent-wake-time,The consensus sleep diary: standardizing prospective sleep self-monitoring,SRC,Health Commons,Journal Article
consistent-wake-time,The effects of regularizing sleep-wake schedules on daytime sleepiness,INT,Health Commons,Journal Article
consistent-wake-time,The importance of sleep regularity: a consensus statement of the National Sleep Foundation sleep timing and variability panel,GUIDE,Health Commons,Guideline
consistent-wake-time,Treatment of central disorders of hypersomnolence: an American Academy of Sleep Medicine clinical practice guideline,GUIDE,Health Commons,Guideline
consistent-wake-time,Validation of the Sleep Regularity Index in Older Adults and Associations with Cardiometabolic Risk,OBS,Health Commons,Journal Article
consistent-wake-time,Effects of regularizing sleep-wake schedules on daytime autonomic functions and psychological states in healthy university students with irregular sleep-wake habits,INT,Health Commons,Journal Article
consistent-wake-time,Short-term reduction in sleep irregularity modulates cardiac autonomic function and central hemodynamic parameters at rest,INT,Health Commons,Journal Article
consistent-wake-time,Reduced sleep irregularity does not impact peripheral vascular function before or following total sleep deprivation,INT,Health Commons,Journal Article
consistent-wake-time,"Effects of irregular versus regular sleep schedules on performance, mood and body temperature",INT,Health Commons,Journal Article
consistent-wake-time,The effects of regularizing sleep-wake schedules on daytime sleepiness,INT,Health Commons,Journal Article
consistent-wake-time,Behavioral and psychophysiological correlates of irregularity in chronic sleep routines,OBS,Health Commons,Journal Article
consistent-wake-time,Daily associations between modifiable sleep behaviors and nighttime sleep among young adult drinkers with insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,The impacts of intra-individual daily sleep variability on daytime functioning and sleep architecture in healthy young adults: an experimental study,RCT,Health Commons,Journal Article
consistent-wake-time,Practice Parameters for the Role of Actigraphy in the Study of Sleep and Circadian Rhythms: An Update for 2002,GUIDE,Health Commons,Guideline
consistent-wake-time,Practice parameters for the use of actigraphy in the assessment of sleep and sleep disorders: an update for 2007,GUIDE,Health Commons,Guideline
consistent-wake-time,The consensus sleep diary: standardizing prospective sleep self-monitoring,SRC,Health Commons,Journal Article
consistent-wake-time,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
consistent-wake-time,"Use of Actigraphy for the Evaluation of Sleep Disorders and Circadian Rhythm Sleep-Wake Disorders: An American Academy of Sleep Medicine Systematic Review, Meta-Analysis, and GRADE Assessment",MA,Health Commons,Review
consistent-wake-time,Wearable Sleep Technology in Clinical and Research Settings,REV,Health Commons,Review
consistent-wake-time,Measuring sleep regularity: theoretical properties and practical usage of existing metrics,SRC,Health Commons,Journal Article
consistent-wake-time,The importance of sleep regularity: a consensus statement of the National Sleep Foundation sleep timing and variability panel,GUIDE,Health Commons,Guideline
consistent-wake-time,State of the science and recommendations for using wearable technology in sleep and circadian research,SRC,Health Commons,Journal Article
consistent-wake-time,Effect of Posthospitalization Sleep Regularity on Clinical Events in Adults With Heart Failure,OBS,Health Commons,Journal Article
consistent-wake-time,Circadian Preference and Sleep-Wake Regularity: Associations With Self-Report Sleep Parameters in Daytime-Working Adults,OBS,Health Commons,Journal Article
consistent-wake-time,Irregular sleep and cardiometabolic risk: Clinical evidence and mechanisms,REV,Health Commons,Review
consistent-wake-time,Beyond the mean: A systematic review on the correlates of daily intraindividual variability of sleep/wake patterns,REV,Health Commons,Review
consistent-wake-time,Greater bed- and wake-time variability is associated with less healthy lifestyle behaviors: a cross-sectional study,OBS,Health Commons,Journal Article
consistent-wake-time,Irregular sleep/wake patterns are associated with poorer academic performance and delayed circadian and sleep/wake timing,OBS,Health Commons,Journal Article
consistent-wake-time,Validation of the Sleep Regularity Index in Older Adults and Associations with Cardiometabolic Risk,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep regularity is associated with sleep-wake and circadian timing, and mediates daytime function in delayed sleep-wake phase disorder",OBS,Health Commons,Journal Article
consistent-wake-time,Sleep Irregularity and Risk of Cardiovascular Events: The Multi-Ethnic Study of Atherosclerosis,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep timing, sleep consistency, and health in adults: a systematic review",REV,Health Commons,Review
consistent-wake-time,Sleep Irregularity and Subclinical Markers of Cardiovascular Disease: The Multi-Ethnic Study of Atherosclerosis,OBS,Health Commons,Journal Article
consistent-wake-time,Sleep regularity is a stronger predictor of mortality risk than sleep duration: A prospective cohort study,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep Variability, Sleep Irregularity, and Nighttime Blood Pressure Dipping",OBS,Health Commons,Journal Article
consistent-wake-time,Sleep regularity and mortality: a prospective analysis in the UK Biobank,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep regularity and major adverse cardiovascular events: a device-based prospective study in 72,269 UK adults",OBS,Health Commons,Journal Article
consistent-wake-time,Social Jetlag and Related Risks for Human Health,REV,Health Commons,Review
consistent-wake-time,Social jetlag: misalignment of biological and social time,OBS,Health Commons,Journal Article
consistent-wake-time,Social Jetlag and Obesity,SRC,Health Commons,Journal Article
consistent-wake-time,School Start Times for Adolescents,GUIDE,Health Commons,Guideline
consistent-wake-time,"The Association between Social Jetlag, the Metabolic Syndrome, and Type 2 Diabetes Mellitus in the General Population: The New Hoorn Study",OBS,Health Commons,Journal Article
consistent-wake-time,Association of social jetlag with metabolic syndrome among Japanese working population: the Furukawa Nutrition and Health Study,OBS,Health Commons,Journal Article
consistent-wake-time,Regularity and Timing of Sleep Patterns and Behavioral Health Among Adolescents,OBS,Health Commons,Journal Article
consistent-wake-time,The association between social jetlag and parameters of metabolic syndrome and type 2 diabetes: a systematic review and meta-analysis,MA,Health Commons,Review
consistent-wake-time,"Sleep regularity in healthy adolescents: Associations with sleep duration, sleep quality, and mental health",OBS,Health Commons,Journal Article
consistent-wake-time,Association Between Social Jetlag and Components of Metabolic Syndrome: A Systematic Review and Meta-Analysis,MA,Health Commons,Review
consistent-wake-time,"Sleep regularity in adolescents: Associations with sleep, rest-activity indices, and prospective mental health symptoms",OBS,Health Commons,Journal Article
consistent-wake-time,Acute Sleep Deprivation and Risk of Motor Vehicle Crash Involvement,SRC,Health Commons,Web Page
consistent-wake-time,NIOSH Training for Nurses on Shift Work and Long Work Hours,GUIDE,Health Commons,Guideline
consistent-wake-time,Negative Impacts of Shiftwork and Long Work Hours,REV,Health Commons,Review
consistent-wake-time,Interpersonal and social rhythm therapy: an intervention addressing rhythm dysregulation in bipolar disorder,REV,Health Commons,Review
consistent-wake-time,Night-to-night sleep variability in older adults with and without chronic insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,Clinical significance of night-to-night sleep variability in insomnia,OBS,Health Commons,Journal Article
consistent-wake-time,"Sleep Restriction Therapy for Insomnia Is Associated With Reduced Objective Total Sleep Time, Increased Daytime Somnolence, and Objectively Impaired Vigilance",INT,Health Commons,Journal Article
consistent-wake-time,Recommended Amount of Sleep for a Healthy Adult: A Joint Consensus Statement of the American Academy of Sleep Medicine and Sleep Research Society,GUIDE,Health Commons,Guideline
consistent-wake-time,Confronting Drowsy Driving: The American Academy of Sleep Medicine Perspective,GUIDE,Health Commons,Guideline
consistent-wake-time,Sleep variability among older adults with insomnia: Associations with sleep quality and cardiometabolic disease risk,OBS,Health Commons,Journal Article
consistent-wake-time,Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians,GUIDE,Health Commons,Guideline
consistent-wake-time,Recommended Amount of Sleep for Pediatric Populations: A Consensus Statement of the American Academy of Sleep Medicine,GUIDE,Health Commons,Guideline
consistent-wake-time,Sleep Loss as a Trigger of Mood Episodes in Bipolar Disorder: Individual Differences Based on Diagnostic Subtype and Gender,OBS,Health Commons,Journal Article
consistent-wake-time,National Sleep Foundation's updated sleep duration recommendations: final report,GUIDE,Health Commons,Guideline
consistent-wake-time,National Sleep Foundation's sleep time duration recommendations: methodology and results summary,GUIDE,Health Commons,Guideline
consistent-wake-time,Acute sleep deprivation and culpable motor vehicle crash involvement,OBS,Health Commons,Journal Article
consistent-wake-time,Behavioral and psychological treatments for chronic insomnia disorder in adults: an American Academy of Sleep Medicine clinical practice guideline,GUIDE,Health Commons,Guideline
consistent-wake-time,Treatment of central disorders of hypersomnolence: an American Academy of Sleep Medicine clinical practice guideline,GUIDE,Health Commons,Guideline
digital-sunset,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
digital-sunset,Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians,GUIDE,Health Commons,Guideline
digital-sunset,Sleep Loss as a Trigger of Mood Episodes in Bipolar Disorder: Individual Differences Based on Diagnostic Subtype and Gender,OBS,Health Commons,Journal Article
digital-sunset,Confronting Drowsy Driving: The American Academy of Sleep Medicine Perspective,GUIDE,Health Commons,Guideline
digital-sunset,Irregular sleep/wake patterns are associated with poorer academic performance and delayed circadian and sleep/wake timing,OBS,Health Commons,Journal Article
digital-sunset,On-call work and sleep: the importance of switching on during a callout and switching off after a call,REV,Health Commons,Journal Article
digital-sunset,Recommended Amount of Sleep for a Healthy Adult: A Joint Consensus Statement of the American Academy of Sleep Medicine and Sleep Research Society,GUIDE,Health Commons,Guideline
digital-sunset,Sleep and circadian disruption in bipolar disorders: From psychopathology to digital phenotyping in clinical practice,REV,Health Commons,Review
digital-sunset,Sleep-deprived motor vehicle operators are unfit to drive: a multidisciplinary expert consensus statement on drowsy driving,GUIDE,Health Commons,Guideline
digital-sunset,The consensus sleep diary: standardizing prospective sleep self-monitoring,SRC,Health Commons,Journal Article
digital-sunset,The Effect of Working On-Call on Stress Physiology and Sleep: A Systematic Review,REV,Health Commons,Review
digital-sunset,Treating Circadian Rhythm Disruption in Bipolar Disorder,REV,Health Commons,Review
digital-sunset,The consensus sleep diary: standardizing prospective sleep self-monitoring,SRC,Health Commons,Journal Article
digital-sunset,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
digital-sunset,The consensus sleep diary: standardizing prospective sleep self-monitoring,SRC,Health Commons,Journal Article
digital-sunset,Recommended Amount of Sleep for a Healthy Adult: A Joint Consensus Statement of the American Academy of Sleep Medicine and Sleep Research Society,GUIDE,Health Commons,Guideline
digital-sunset,Confronting Drowsy Driving: The American Academy of Sleep Medicine Perspective,GUIDE,Health Commons,Guideline
digital-sunset,Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians,GUIDE,Health Commons,Guideline
digital-sunset,Sleep-deprived motor vehicle operators are unfit to drive: a multidisciplinary expert consensus statement on drowsy driving,GUIDE,Health Commons,Guideline
digital-sunset,Consumer Sleep Technology: An American Academy of Sleep Medicine Position Statement,GUIDE,Health Commons,Guideline
digital-sunset,Sleep and circadian disruption in bipolar disorders: From psychopathology to digital phenotyping in clinical practice,REV,Health Commons,Review
digital-sunset,Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians,GUIDE,Health Commons,Guideline
digital-sunset,The Effect of Working On-Call on Stress Physiology and Sleep: A Systematic Review,REV,Health Commons,Review
digital-sunset,Irregular sleep/wake patterns are associated with poorer academic performance and delayed circadian and sleep/wake timing,OBS,Health Commons,Journal Article
digital-sunset,Sleep Loss as a Trigger of Mood Episodes in Bipolar Disorder: Individual Differences Based on Diagnostic Subtype and Gender,OBS,Health Commons,Journal Article
digital-sunset,Treating Circadian Rhythm Disruption in Bipolar Disorder,REV,Health Commons,Review
digital-sunset,On-call work and sleep: the importance of switching on during a callout and switching off after a call,REV,Health Commons,Journal Article
digital-sunset,Sleep and circadian disruption in bipolar disorders: From psychopathology to digital phenotyping in clinical practice,REV,Health Commons,Review
finnish-sauna,2021 European Society of Hypertension practice guidelines for office and out-of-office blood pressure measurement,GUIDE,Health Commons,Guideline
finnish-sauna,Acute and short-term efficacy of sauna treatment on cardiovascular function: A meta-analysis,MA,Health Commons,Review
finnish-sauna,American College of Sports Medicine position stand. Exertional heat illness during training and competition,GUIDE,Health Commons,Guideline
finnish-sauna,Build a Sauna,GUIDE,Health Commons,Web Page
finnish-sauna,Can I use a sauna or hot tub early in pregnancy?,GUIDE,Health Commons,Web Page
finnish-sauna,"Cardiovascular effects of atenolol, scopolamine and their combination on healthy men in Finnish sauna baths",MECH,Health Commons,Journal Article
finnish-sauna,Clinical Overview of Heat and Pregnancy,GUIDE,Health Commons,Guideline
finnish-sauna,Comparison of short exposure to severe dry and wet heat in saunas,MECH,Health Commons,Journal Article
finnish-sauna,Consensus recommendations on training and competing in the heat,GUIDE,Health Commons,Guideline
finnish-sauna,Death in Sauna Associated With a Transdermal Fentanyl Patch,SRC,Health Commons,Journal Article
finnish-sauna,Deliberate Heat Exposure Protocols for Health & Performance,SRC,Health Commons,External Protocol
finnish-sauna,"Differential effects of sauna-, diuretic-, and exercise-induced hypohydration",MECH,Health Commons,Journal Article
finnish-sauna,Does the Combination of Finnish Sauna Bathing and Other Lifestyle Factors Confer Additional Health Benefits? A Review of the Evidence,REV,Health Commons,Review
finnish-sauna,DON'T DIE Protocol: Sauna,SRC,Health Commons,External Protocol
finnish-sauna,Effects of a Finnish sauna on the pharmacokinetics and haemodynamic actions of propranolol and captopril in healthy volunteers,INT,Health Commons,Journal Article
finnish-sauna,Effects of exposure to Finnish sauna,MECH,Health Commons,Journal Article
finnish-sauna,"Effects of heat and cold on health, with special reference to Finnish sauna bathing",REV,Health Commons,Review
finnish-sauna,Effects of heat exposure in a Finnish sauna on the pharmacokinetics and metabolism of midazolam,MECH,Health Commons,Journal Article
