id,kind,name,slug,seed_file,seed_line,image_count,first_image_url,audit_confidence,evidence_note,all_image_urls,removal_decision,triple_check_note
EX301,exercise,Plank with Alternating Leg Lift,plank-with-alternating-leg-lift,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,302,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2889f184-c3e8-4cb9-d933-a84d38957a00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2889f184-c3e8-4cb9-d933-a84d38957a00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c0b34ca5-3d2d-414a-38b3-1994b78fd700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/f939b0e0-858c-424a-96dc-0f3deafcb600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/48800f09-f65a-44b1-3a62-1d8584ed3800/public,remove,High-confidence visual match from audit.
EX303,exercise,Plank Shoulder Tap,plank-shoulder-tap,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,304,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/65a1e05d-cd0a-4c46-cd79-8c8331497b00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/65a1e05d-cd0a-4c46-cd79-8c8331497b00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/de0d4f49-5e59-4d99-0298-3f99bb6dc100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/68b96ea5-ab8a-498c-fe41-f6052402b800/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/117c380e-c24c-4ad9-18e1-155edc599800/public,remove,High-confidence visual match from audit.
EX311,exercise,Side Plank Reach-Through,side-plank-reach-through,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,312,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b83f2902-5bce-4fe7-2025-7833584d8b00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b83f2902-5bce-4fe7-2025-7833584d8b00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1e0b26dd-85e1-41c1-61f4-e91270f17e00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/28a0556c-28a9-4caa-01d4-f0a7cdb3ea00/public,remove,High-confidence visual match from audit.
EX321,exercise,Crunch,crunch,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,322,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7e417918-ec19-44a1-f237-0017f0180f00/public,medium,"Likely same flat/vector family, but less visually definitive than the EX534 example; review before deletion.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7e417918-ec19-44a1-f237-0017f0180f00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/01c036ff-4403-4d45-178e-e52d91ec4700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a34ffd1b-8903-417b-c18f-26de93f7d200/public,remove,Triple-check full image set still matches the flat local raster/SVG family.
EX324,exercise,Cross-Body Crunch,cross-body-crunch,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,325,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d888e509-3cbc-4cf9-54f9-6441eca83000/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d888e509-3cbc-4cf9-54f9-6441eca83000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/530263cd-13f9-493f-e84c-1758f2ea3100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/26251ff0-0590-49b2-34c8-0e0ca88fb100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/40459976-5220-4be0-48b3-3694107e6400/public,remove,High-confidence visual match from audit.
EX326,exercise,Heel Tap Crunch,heel-tap-crunch,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,327,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/87f75b73-761c-4087-a24c-ca7cd45d5000/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/87f75b73-761c-4087-a24c-ca7cd45d5000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e2840b37-90c5-4594-c624-0d0d5514c300/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/334b4169-fca7-407b-1757-7aa15fa3ca00/public,remove,High-confidence visual match from audit.
EX327,exercise,Toe Touch Crunch,toe-touch-crunch,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,328,2,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6617ff5d-7b45-4d90-6004-18a891405d00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6617ff5d-7b45-4d90-6004-18a891405d00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8204a074-8dc9-499f-80a2-4fa4fc56cd00/public,remove,High-confidence visual match from audit.
EX332,exercise,Flutter Kick,flutter-kick,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,333,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a5e2f113-2b99-44e2-615d-8556cf55fc00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/a5e2f113-2b99-44e2-615d-8556cf55fc00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/22c4dabf-898d-4bb0-2c69-6e281c573800/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/063e75ad-e886-49b7-5197-16f6482ead00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/37023760-4e26-44bc-9e5f-91f178dddd00/public,remove,High-confidence visual match from audit.
EX333,exercise,Scissor Kick,scissor-kick,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,334,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ec4cf7ef-d284-48a9-1cbb-caa184ae0d00/public,medium,"Likely same flat/vector family, but less visually definitive than the EX534 example; review before deletion.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ec4cf7ef-d284-48a9-1cbb-caa184ae0d00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/f6b93b33-68d1-4be0-2529-8fcc91664900/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/454fd3f4-2663-431b-41a8-98a659b0c000/public,remove,Triple-check full image set still matches the flat local raster/SVG family.
EX334,exercise,Seated Knee Tuck,seated-knee-tuck,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,335,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3cc37fdd-eb7c-4761-c656-52c0eca24000/public,medium,"Likely same flat/vector family, but less visually definitive than the EX534 example; review before deletion.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3cc37fdd-eb7c-4761-c656-52c0eca24000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1c37f4ab-5353-48ee-2941-051111fd1500/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/797b1aa5-21b4-46bd-1d2c-b2820b5ae400/public,remove,Triple-check full image set still matches the flat local raster/SVG family.
EX345,exercise,Mountain Climber,mountain-climber,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,346,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7f796506-0a71-4a43-1db6-b85f12b06d00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7f796506-0a71-4a43-1db6-b85f12b06d00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1aa04983-7c0f-46ff-3963-b5126df91700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1e923a00-f8cf-4015-d2d4-263121df3b00/public,remove,High-confidence visual match from audit.
EX353,exercise,Bottle Halo,bottle-halo,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,354,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3a644328-7c5b-4bfc-4e53-1ba132f2dd00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3a644328-7c5b-4bfc-4e53-1ba132f2dd00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c4b0aa9b-1f02-4238-9777-9710254a1200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c5aa6574-ef53-4a57-e3d6-b15365ced700/public,remove,High-confidence visual match from audit.
EX390,exercise,Jab-Cross Combo,jab-cross-combo,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,391,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/23fa1930-0780-4d2c-9804-58c55320d700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/23fa1930-0780-4d2c-9804-58c55320d700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6227d25b-8788-463b-697d-426c4db1a200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d9678632-ebaa-4206-3ac7-614877e24b00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b82a855f-bd09-477e-d67b-fa9eaac2a900/public,remove,High-confidence visual match from audit.
EX413,exercise,Broad Jump and Backpedal,broad-jump-and-backpedal,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,414,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/48cb21aa-1ca0-4a46-946a-504788b47700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/48cb21aa-1ca0-4a46-946a-504788b47700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/ac274ad0-5a30-4d69-cffe-23edc1228200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1632cb4c-8bb2-4259-0afc-2d2fc618cb00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/028016da-fa1b-4954-9b40-eb25f535ff00/public,remove,High-confidence visual match from audit.
EX417,exercise,Mountain Climber Sprint,mountain-climber-sprint,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,418,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c0790901-75b0-48d0-38ae-af393d07ca00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/c0790901-75b0-48d0-38ae-af393d07ca00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/fcda3d72-744c-40fc-39dd-3ec4a54ebb00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/5e7f0726-7730-4689-b06a-2a70afd50b00/public,remove,High-confidence visual match from audit.
EX418,exercise,Plank Ski Hop,plank-ski-hop,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,419,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/13ffe2e5-08bd-44d6-85eb-3a243bfdc600/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/13ffe2e5-08bd-44d6-85eb-3a243bfdc600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/5ec85bb0-7d5e-41a4-1cf9-db9bb218d300/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/d1183b69-dee4-466b-bbe5-8bdcf8f27900/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/34fdaaeb-1726-4588-4b91-68a2b331b400/public,remove,High-confidence visual match from audit.
EX428,exercise,Stair March,stair-march,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,429,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1e45543c-bf4c-415e-ca06-694d153c1800/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/1e45543c-bf4c-415e-ca06-694d153c1800/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/bf329d1f-8672-4e25-8e45-727dac135b00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/bd16b187-4a6f-4782-5735-c826be488e00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6185288b-7f48-4533-9fb5-f4a48fc0f600/public,remove,High-confidence visual match from audit.
EX447,exercise,Bear Jack,bear-jack,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,448,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8a6808cf-ab50-4b33-8433-fc5a0964f800/public,medium,"Likely same flat/vector family, but less visually definitive than the EX534 example; review before deletion.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/8a6808cf-ab50-4b33-8433-fc5a0964f800/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/95518181-0e94-492c-52c1-42f6f80f7600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/50b5fa41-eebc-4127-2fcc-1c64658e2f00/public,remove,Triple-check full image set still matches the flat local raster/SVG family.
EX464,exercise,Tandem Walk,tandem-walk,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,465,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e3a269c1-3c53-4f1e-716b-bfd6c37f8c00/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e3a269c1-3c53-4f1e-716b-bfd6c37f8c00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/491036a1-14f4-42c3-31d7-9680664c2e00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e6d30728-fc07-4406-d105-d1d18b058000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/75ef3cf9-39b9-4ef8-9f5d-c582ed8c8d00/public,remove,High-confidence visual match from audit.
EX469,exercise,March and Hold,march-and-hold,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,470,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/98e282fb-c6a3-41d4-03af-056206366700/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/98e282fb-c6a3-41d4-03af-056206366700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/327931c1-4669-41cf-d417-1ff4eddf8800/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/b702cee3-6bf6-4370-f508-cb3f06da4e00/public,remove,High-confidence visual match from audit.
EX470,exercise,Knee Drive Hold,knee-drive-hold,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,471,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4bd87e37-2be9-4428-906e-9371ca332200/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/4bd87e37-2be9-4428-906e-9371ca332200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/6af132a9-7997-42af-d5de-059994115200/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/3716d8a7-0825-43b2-e922-bfb08e6d1900/public,remove,High-confidence visual match from audit.
EX472,exercise,Toe Tap to Stair,toe-tap-to-stair,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,473,4,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/45f00d98-1dc5-4f85-44b2-01a9b90a7900/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/45f00d98-1dc5-4f85-44b2-01a9b90a7900/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/5a6fd095-d56d-4135-1466-b0b6d280c700/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/7edfe7c9-f6e8-4bd7-c108-c5a92c4b5100/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/9639e306-f8d8-48c1-b3e3-af66825e2900/public,remove,High-confidence visual match from audit.
EX493,exercise,Tall-Kneeling Balance Hold,tall-kneeling-balance-hold,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,494,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e7c6f8d5-2ef2-4ba0-e9d7-5e3564b5e300/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/e7c6f8d5-2ef2-4ba0-e9d7-5e3564b5e300/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/27642f62-e3eb-4a83-fcaa-d35eefe7b600/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/9acd9253-d9d8-498c-7caa-390ca72b9200/public,remove,High-confidence visual match from audit.
EX497,exercise,Tall-Kneeling Overhead Press,tall-kneeling-overhead-press,packages/exercise-library/content/seed/at-home-exercise-stretch.csv,498,3,https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/fe18920e-64c6-4c0c-8e71-f6ad18fa5000/public,high,"Matches the flat local raster/SVG style: simplified segmented figure, beige background, leader-line labels/callouts.",https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/fe18920e-64c6-4c0c-8e71-f6ad18fa5000/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/f3c65a45-352b-44a7-9930-5ba0c35f0f00/public ; https://imagedelivery.net/TDuhqfLDl0Fb8RGwGw6mYw/2ad6556e-d6d7-4539-76fa-243f9c341900/public,remove,High-confidence visual match from audit.
