feature_id,area,route_or_surface,user_story,expected_behavior,primary_evidence,existing_test_evidence,feature_status,test_coverage_status,inventory_notes,testing_loop_status,last_test_command,last_test_result,observed_errors,source_worker,tracker_updated
assistant-device-connect-intent,connect,GET/POST /device/connect/:claim,"As a member opening a Murph-sent device link, I land in the right connect flow and can redeem the link once.","GET validates the claim and redirects to /connect hash params; POST requires trusted origin and active session, claims the intent for the same member, starts provider OAuth, returns JSON for app-page requests, and releases the claim if provider start fails.",apps/web/app/device/connect/[claim]/route.ts:26; apps/web/app/device/connect/[claim]/route.ts:63; apps/web/src/lib/device-sync/connect-intents.ts:27; apps/web/src/lib/device-sync/connect-intent-core.ts:23,apps/web/test/device-connect-intent-route.test.ts:81; apps/web/test/device-connect-intent-route.test.ts:112; apps/web/test/device-connect-intent-route.test.ts:183; apps/web/test/device-connect-intent-route.test.ts:232; apps/web/test/device-connect-intent-route.test.ts:259; apps/web/test/device-connect-intents.test.ts:31,inventoried,covered,Claim TTL/default format backed by Prisma DeviceConnectIntent.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/agent-route.test.ts apps/web/test/agent-session-routes.test.ts apps/web/test/agent-session-service.test.ts apps/web/test/auth.test.ts apps/web/test/connect-source-and-experiment-card-routes.test.tsx apps/web/test/device-connect-intent-route.test.ts apps/web/test/device-connect-intents.test.ts apps/web/test/device-sync-callback-route.test.ts apps/web/test/device-sync-companion-routes.test.ts apps/web/test/device-sync-connect-complete-page.test.ts apps/web/test/device-sync-hosted-wake.test.ts apps/web/test/device-sync-messaging-return-route.test.ts apps/web/test/device-sync-root-and-stripe-cron-routes.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/device-sync/local-heartbeat.test.ts apps/web/test/local-heartbeat-route.test.ts apps/web/test/prisma-store-agent-session.test.ts apps/web/test/prisma-store-browser-auth-nonce.test.ts apps/web/test/prisma-store-local-heartbeat.test.ts,passed tracker-referenced focused tests on 2026-06-21,,04-device-sync-connect,2026-06-21
connect-source-catalog,connect,/connect,"As a member, I can browse supported device sources and see whether each source is connected or needs reconnecting.","The page builds visible hosted sources from configured direct or Junction routes, preloads current settings for authenticated members, marks connected/reconnect/disconnect state, sorts by connection state and popularity, supports search, and renders sign-in/connect/reconnect/not-available actions.",apps/web/app/(dashboard)/connect/page.tsx:218; apps/web/app/(dashboard)/connect/page.tsx:297; apps/web/app/(dashboard)/connect/page.tsx:337; apps/web/app/(dashboard)/connect/connect-page-client.tsx:96; apps/web/app/(dashboard)/connect/connect-source-card.tsx:25,apps/web/test/connect-source-and-experiment-card-routes.test.tsx:56,inventoried,partial,Source catalog metadata is tested; no direct connect-page client interaction test found.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/agent-route.test.ts apps/web/test/agent-session-routes.test.ts apps/web/test/agent-session-service.test.ts apps/web/test/auth.test.ts apps/web/test/connect-source-and-experiment-card-routes.test.tsx apps/web/test/device-connect-intent-route.test.ts apps/web/test/device-connect-intents.test.ts apps/web/test/device-sync-callback-route.test.ts apps/web/test/device-sync-companion-routes.test.ts apps/web/test/device-sync-connect-complete-page.test.ts apps/web/test/device-sync-hosted-wake.test.ts apps/web/test/device-sync-messaging-return-route.test.ts apps/web/test/device-sync-root-and-stripe-cron-routes.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/device-sync/local-heartbeat.test.ts apps/web/test/local-heartbeat-route.test.ts apps/web/test/prisma-store-agent-session.test.ts apps/web/test/prisma-store-browser-auth-nonce.test.ts apps/web/test/prisma-store-local-heartbeat.test.ts,passed tracker-referenced focused tests on 2026-06-21,,04-device-sync-connect,2026-06-21
connect-source-start,connect-api,POST /api/connect-sources/:sourceId/start,"As a member, I can start OAuth or external-link setup for a selected source.","POST resolves the source and optional provider/target selector, requires trusted origin, active hosted session, and launch consent, starts the control-plane connection with a server-owned completion return, and returns only an HTTPS authorizationUrl.",apps/web/app/api/connect-sources/[sourceId]/start/route.ts:32; apps/web/app/api/connect-sources/[sourceId]/start/route.ts:88; apps/web/src/lib/device-sync/hosted-connect-start.ts:17; apps/web/app/(dashboard)/connect/connect-page-helpers.ts:167,apps/web/test/device-sync-settings-routes.test.ts:762; apps/web/test/device-sync-settings-routes.test.ts:799; apps/web/test/device-sync-settings-routes.test.ts:832; apps/web/test/device-sync-settings-routes.test.ts:934; apps/web/test/device-sync-settings-routes.test.ts:965; apps/web/test/device-sync-settings-routes.test.ts:996,inventoried,covered,Used by /connect and device-connect intent flows.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,04-device-sync-connect,2026-06-21
connect-source-disconnect,connect-settings,/connect card and POST /api/settings/device-sync/connections/:connectionId/disconnect,"As a member, I can disconnect a wearable source while keeping historical data.","UI asks for confirmation, POST requires trusted origin and active session, disconnects the owned connection, preserves history messaging, may return a provider-revoke warning, and backend marks sources disconnected and queues a disconnect wake.",apps/web/app/(dashboard)/connect/connect-page-client.tsx:258-281; apps/web/app/(dashboard)/connect/connect-page-dialogs.tsx:56-111; apps/web/app/api/settings/device-sync/connections/[connectionId]/disconnect/route.ts:7; apps/web/src/lib/device-sync/wake-service.ts:50,"apps/web/test/connect-page.test.ts:1773,1828,1906; apps/web/test/device-sync-settings-routes.test.ts:1130,1152,1180; apps/web/test/device-sync-hosted-wake.test.ts:692,835",inventoried,covered,"Route, service wake, and /connect client confirmation/error paths are covered.",passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts && pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/agent-route.test.ts apps/web/test/agent-session-routes.test.ts apps/web/test/agent-session-service.test.ts apps/web/test/auth.test.ts apps/web/test/connect-source-and-experiment-card-routes.test.tsx apps/web/test/device-connect-intent-route.test.ts apps/web/test/device-connect-intents.test.ts apps/web/test/device-sync-callback-route.test.ts apps/web/test/device-sync-companion-routes.test.ts apps/web/test/device-sync-connect-complete-page.test.ts apps/web/test/device-sync-hosted-wake.test.ts apps/web/test/device-sync-messaging-return-route.test.ts apps/web/test/device-sync-root-and-stripe-cron-routes.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/device-sync/local-heartbeat.test.ts apps/web/test/local-heartbeat-route.test.ts apps/web/test/prisma-store-agent-session.test.ts apps/web/test/prisma-store-browser-auth-nonce.test.ts apps/web/test/prisma-store-local-heartbeat.test.ts,passed tracker-referenced focused tests on 2026-06-21,,04-device-sync-connect,2026-06-21
device-sync-consent-gate,connect-settings-companion,connect start and companion routes,"As a member, I must grant required consent before Murph starts or uses health-device sync.","Connect start asserts launch consent, /connect opens the consent dialog on HOSTED_CONSENT_REQUIRED, and companion sign-in/status require launch consent before returning data or tokens.",apps/web/src/lib/device-sync/hosted-connect-start.ts:17; apps/web/app/(dashboard)/connect/connect-page-client.tsx:169; apps/web/app/(dashboard)/connect/connect-page-dialogs.tsx:20-54; apps/web/app/api/device-sync/companion/sign-in-token/route.ts:21; apps/web/app/api/device-sync/companion/status/route.ts:15,apps/web/test/device-sync-settings-routes.test.ts:965; apps/web/test/connect-page.test.ts:1970; apps/web/test/device-sync-companion-routes.test.ts:238; apps/web/test/device-sync-companion-routes.test.ts:370,inventoried,covered,Cross-cutting guard.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts && pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/agent-route.test.ts apps/web/test/agent-session-routes.test.ts apps/web/test/agent-session-service.test.ts apps/web/test/auth.test.ts apps/web/test/connect-source-and-experiment-card-routes.test.tsx apps/web/test/device-connect-intent-route.test.ts apps/web/test/device-connect-intents.test.ts apps/web/test/device-sync-callback-route.test.ts apps/web/test/device-sync-companion-routes.test.ts apps/web/test/device-sync-connect-complete-page.test.ts apps/web/test/device-sync-hosted-wake.test.ts apps/web/test/device-sync-messaging-return-route.test.ts apps/web/test/device-sync-root-and-stripe-cron-routes.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/device-sync/local-heartbeat.test.ts apps/web/test/local-heartbeat-route.test.ts apps/web/test/prisma-store-agent-session.test.ts apps/web/test/prisma-store-browser-auth-nonce.test.ts apps/web/test/prisma-store-local-heartbeat.test.ts,passed tracker-referenced focused tests on 2026-06-21,,04-device-sync-connect,2026-06-21
browser-vault-client-state,dashboard,overview/history/signals/biomarkers browser-vault surfaces,"As an authenticated user, dashboard pages use decrypted browser-vault replica data safely.","Scoped pages mount BrowserVaultProvider and consume ready, empty, error, refresh, refreshPending, and import-pending state; provider skips anonymous fetches, handles stale or pending replicas, and hides data when auth becomes anonymous.",apps/web/app/(dashboard)/overview/page.tsx:37-51; apps/web/app/(dashboard)/history/page.tsx:32-42; apps/web/app/(dashboard)/signals/page.tsx:32-43; apps/web/app/(dashboard)/biomarkers/biomarkers-page-client.tsx:45-67,apps/web/test/browser-vault-context.test.tsx:49-90; apps/web/test/browser-vault-context.test.tsx:92-162; apps/web/test/browser-vault-context.test.tsx:164-233; apps/web/test/browser-vault-context.test.tsx:235-382,inventoried,covered,,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/biomarker-browse-card.test.ts apps/web/test/biomarker-private-trend-card.test.ts apps/web/test/browser-vault-context.test.tsx apps/web/test/browser-vault-dashboard-pages.test.tsx apps/web/test/browser-vault-loader.test.ts apps/web/test/browser-vault-session-route.test.ts apps/web/test/browser-vault-trend-comparison.test.ts apps/web/test/connect-source-and-experiment-card-routes.test.tsx apps/web/test/experiment-detail-client-contract.test.tsx apps/web/test/experiment-detail-private-run.test.tsx apps/web/test/experiment-detail-protocol-tab.test.ts apps/web/test/experiment-library-cards.test.ts apps/web/test/experiment-page-projections.test.tsx apps/web/test/experiment-research-page-projection.test.tsx apps/web/test/health-commons-biomarker-detail-page.test.ts apps/web/test/health-commons-measurement-method-detail.test.ts apps/web/test/health-commons-measurement-method-page.test.ts apps/web/test/start-experiment-contact.test.ts,passed tracker-referenced focused tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
dashboard-primary-navigation,dashboard,sidebar,"As a dashboard user, I can navigate primary product areas.","Sidebar shows Home, Biomarkers, and Experiments; Biomarkers stays active for nested biomarker routes; mobile sidebar closes on pathname change.",apps/web/src/components/dashboard/sidebar.tsx:55-69; apps/web/src/components/dashboard/sidebar.tsx:269-345,apps/web/test/dashboard-sidebar.test.ts:191-231; apps/web/test/dashboard-sidebar.test.ts:346-386,inventoried,covered,"Overview, Settings, and Age are intentionally absent from primary nav.",passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
dashboard-route-metadata,dashboard,overview/history/signals/biomarkers/home metadata,"As a user or crawler, dashboard pages have page-specific metadata and shared previews.","Home, Overview, History, Signals, and Biomarkers define titles and descriptions through shared metadata helper.",apps/web/app/(dashboard)/home/page.tsx:35-38; apps/web/app/(dashboard)/overview/layout.tsx:6-9; apps/web/app/(dashboard)/history/layout.tsx:6-9; apps/web/app/(dashboard)/signals/layout.tsx:6-9; apps/web/app/(dashboard)/biomarkers/page.tsx:18-22,apps/web/test/browser-vault-dashboard-pages.test.tsx:48-95; apps/web/test/pitch-and-biomarkers-pages.test.tsx:141-155,inventoried,covered,Home metadata is not directly asserted in the cited tests.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/page.test.ts apps/web/test/legal-html-pages.test.ts apps/web/test/pitch-and-biomarkers-pages.test.tsx apps/web/test/dashboard-home-page.test.tsx,passed 4 files / 18 tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
dashboard-shell-authenticated-sidebar,dashboard,`(dashboard)` layout,"As a dashboard visitor, I see dashboard chrome around every scoped page.","Server layout reads sidebar auth and wraps children in `DashboardShell`; shell renders sidebar, mobile header, and padded main content.",apps/web/app/(dashboard)/layout.tsx:6-13; apps/web/src/components/dashboard/dashboard-shell.tsx:17-60,apps/web/test/dashboard-sidebar.test.ts:191-231,inventoried,partial,Sidebar behavior is tested directly; layout wrapper itself is not directly asserted.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
dashboard-sidebar-account-menu,dashboard,sidebar footer,"As a signed-in member, I can reach account controls and sign out.","Signed-in sidebar shows account menu with Devices, Settings, Sign out, optional device-sync status, Privy logout, refresh, and sign-out error handling.",apps/web/src/components/dashboard/sidebar.tsx:106-244,apps/web/test/dashboard-sidebar.test.ts:233-270; apps/web/test/dashboard-sidebar.test.ts:272-343; apps/web/test/dashboard-sidebar.test.ts:434-579,inventoried,partial,Status summarization is covered; live fetch-to-render status path is not fully asserted.,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
dashboard-sidebar-auth-cta,dashboard,sidebar footer,"As a signed-out visitor, I can log in or sign up from the sidebar.",Signed-out sidebar shows a CTA card and opens auth through `openAuthDialog`.,apps/web/src/components/dashboard/sidebar.tsx:81-103; apps/web/src/components/dashboard/sidebar.tsx:158-160,apps/web/test/dashboard-sidebar.test.ts:388-399,inventoried,covered,,passed,pnpm exec vitest run --config apps/web/vitest.workspace.ts --no-coverage apps/web/test/browser-vault-session-route.test.ts apps/web/test/dashboard-sidebar.test.ts apps/web/test/device-sync-settings-routes.test.ts apps/web/test/device-sync-settings-surface.test.ts apps/web/test/hosted-account-data-service.test.ts apps/web/test/hosted-account-settings-cards.test.tsx apps/web/test/hosted-billing-settings.test.tsx apps/web/test/hosted-data-privacy-settings.test.ts apps/web/test/hosted-execution-usage-allowance.test.ts apps/web/test/hosted-execution-usage-gate-route.test.ts apps/web/test/hosted-execution-usage-route.test.ts apps/web/test/hosted-execution-usage.test.ts apps/web/test/hosted-legal-consent-card.test.ts apps/web/test/hosted-onboarding-client-api.test.ts apps/web/test/hosted-onboarding-companion-member-access.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-plan-change-service.test.ts apps/web/test/hosted-onboarding-billing-plan-switch-to-pulse-service.test.ts apps/web/test/hosted-onboarding-billing-plans.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/hosted-onboarding-billing-success-route.test.ts apps/web/test/hosted-onboarding-stripe-event-reconciliation.test.ts apps/web/test/hosted-onboarding-stripe-route.test.ts apps/web/test/hosted-onboarding-stripe-webhook-service.test.ts apps/web/test/hosted-orchestration-runtime-usage-decision.test.ts apps/web/test/legal-consent-routes.test.ts apps/web/test/legal-consent.test.ts apps/web/test/settings-billing-portal-route.test.ts apps/web/test/hosted-onboarding-billing-checkout-route.test.ts apps/web/test/settings-billing-switch-to-pulse-route.test.ts apps/web/test/settings-billing-upgrade-plan-route.test.ts apps/web/test/settings-data-export-route.test.ts apps/web/test/settings-email-settings.test.ts apps/web/test/settings-email-sync-route.test.ts apps/web/test/settings-page.test.ts apps/web/test/settings-phone-settings.test.ts apps/web/test/settings-phone-sync-route.test.ts apps/web/test/settings-privacy-delete-route.test.ts apps/web/test/settings-telegram-settings.test.ts apps/web/test/settings-telegram-sync-route.test.ts,passed tracker-referenced focused tests on 2026-06-21,,02-dashboard-read-surfaces,2026-06-21
